Title,Category,Sub Category,Price,Quantity,Images
"PowerA Wired Controller For Xbox Series X|S - Black, Gamepad, Video Game Controller Works with Xbox One",Electronics,Home entertainment systems,21.19,462,"https://m.media-amazon.com/images/I/41ohVBeWQHL._SY300_SX300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71XNX1uaQsL._SX522_.jpg, https://m.media-amazon.com/images/I/71Im6M3derL._SX522_.jpg, https://m.media-amazon.com/images/I/71L2HzbjkgL._SX522_.jpg, https://m.media-amazon.com/images/I/71NcWLEBWFL._SX522_.jpg, https://m.media-amazon.com/images/I/711NBUwP52L._SX522_.jpg"
"Lenovo IdeaPad 1 Laptop, 15.6” FHD Display, AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, Windows 11 Home, 720p Camera w/Privacy Shutter, Smart Noise Cancelling",Electronics,Laptops and computers,301.94,362,"https://m.media-amazon.com/images/I/51h3oOo7XnL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/51mQB+DY-1L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61rHsFXiEOL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/41OypMkhssL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/41A42FuekNL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/516I7ubkZPL._AC_SX466_.jpg"
"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, ",Electronics,Laptops and computers,269.99,362,"https://m.media-amazon.com/images/I/711OHeRmEaL.__AC_SY300_SX300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/61fn0xreauS._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71TWePvkAbL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71w7d0qIcuL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61hRnfJKCqL._AC_SX466_.jpg"
"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM,",Electronics,Laptops and computers,316.62,564,"https://m.media-amazon.com/images/I/71gbrvRJI-L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/715LBvCan5L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51KzNYJIVKL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51B6AYSgQEL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/41VqetrFiLL._AC_SX679_.jpg"
"HP Newest Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life",Electronics,Laptops and computers,428.99,865,"https://m.media-amazon.com/images/I/71aTEZOda0L.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71aTEZOda0L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81ieX-h+UjL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71WltMQEbGL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81RXwYpBmcL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71IqzSs7oHL._AC_SX466_.jpg"
"HP 15.6"" Diagonal Full HD (1920 x 1080) Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8GB DDR4 RAM, 256GB SSD, 802.11ac, Bluetooth, HDMI, Windows 11",Electronics,Laptops and computers,392,769,"https://m.media-amazon.com/images/I/61lf6OAhnLL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71FlMGjfm5L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71HAEhutCdL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71vSioRwjjL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/717Tl6KJDYL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/717Tl6KJDYL._AC_SX679_.jpg"
"HP Portable 13.8"" HD IPS Laptop, Intel Celeron N Processor Up to 2.78GHz, 4GB DDR4, 64GB SSD, HDMI, Webcam, Bluetooth, Windows 11, Azure Blue(Renewed)",Electronics,Laptops and computers,365.69,812,"https://m.media-amazon.com/images/I/51vk2xZdk8L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/61dAsIwgx5L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/61PaXroutwL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51vk2xZdk8L._AC_SX679_.jpg"
"Dell Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 12GB RAM, 256GB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",Electronics,Laptops and computers,417.19,643,"https://m.media-amazon.com/images/I/71Xxa-Ao8bL.__AC_SY300_SX300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/319H6T+LkLL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/41tBy54PoLL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/41y-sqlTW7L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61Wa97GrOFL._AC_SX466_.jpg"
"HP 15 Notebook Laptop, 15.6"" Full HD Display, Intel Core i5-1135G7 Processor, 32GB DDR4 RAM, 1TB PCIe SSD, USB Type-C, Webcam, Wi-Fi, Windows 11 Home, Silver",Electronics,Laptops and computers,525,362,"https://m.media-amazon.com/images/I/71UdDYy+oHL._AC_SY300_SX300_.jpg, https://m.media-amazon.com/images/I/71KkeHe2hNL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71qzZslSSFL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/61pMdai5VnL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/41cjnHXcOSL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/41hKdgfxhuL._AC_SX679_.jpg"
"Lenovo IdeaPad 1 14 Laptop, 14.0"" HD Display, Intel Celeron N4020, 4GB RAM, 64GB Storage, Intel UHD Graphics 600, Win 11 in S Mode, Cloud Grey",Electronics,Laptops and computers,165,759,"https://m.media-amazon.com/images/I/71bphKmt0DL.__AC_SY300_SX300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71bphKmt0DL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71lbqKESUgL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71vfL+UuqmL._AC_SX466_.jpg"
"Samsung Galaxy Tab A9 LTE Android Tablet, 4GB RAM, 64GB Storage, Graphite -1 year local warranty
",Electronics,Tablets and e-readers,250,362,"https://m.media-amazon.com/images/I/51xkzOX2sOL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/417caC4aTjL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51S8Jf4ORJL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/511gBDbuG9L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/81xcYrtt8WL._AC_SX679_.jpg"
"Lenovo Tab M9-2023 - Tablet - Long Battery Life - 9"" HD - Front 2MP & Rear 8MP Camera - 3GB Memory - 32GB Storage - Android 12 or Later - Folio Case Included,Gray",Electronics,Tablets and e-readers,103.43,652,"https://m.media-amazon.com/images/I/618mxQZWt1L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61Cw22OyeOL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71XyzbU1UfL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/51JVGzESW8L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71Sh3WY9igL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71wPlX5X7lL._AC_SX466_.jpg"
"Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 32 GB, Lilac",Electronics,Tablets and e-readers,79.19,352,"https://m.media-amazon.com/images/I/61EMYIy0jFL._AC_SY300_SX300_.jpg, https://m.media-amazon.com/images/I/51XL4VuXC3L._AC_SY450_.jpg, https://m.media-amazon.com/images/I/61mYDVmJMGL._AC_SY450_.jpg, https://m.media-amazon.com/images/I/61sMP+B46mL._AC_SY450_.jpg, https://m.media-amazon.com/images/I/614TI2Ebc5L._AC_SY450_.jpg, https://m.media-amazon.com/images/I/616Ag4tD8OL._AC_SY450_.jpg"
"Amazon Fire HD 10 Tablet Cover (Only compatible with 11th generation tablet, 2021 release) – Charcoal Black
",Electronics,Tablets and e-readers,119.3,251,"https://m.media-amazon.com/images/I/81gxZOUPXDS._AC_SX679_.jpg, https://m.media-amazon.com/images/I/81xTJXhcHsS._AC_SX679_.jpg, https://m.media-amazon.com/images/I/91PFqVdi+4S._AC_SX679_.jpg, https://m.media-amazon.com/images/I/81MQYzgGlNS._AC_SX679_.jpg"
"Samsung Galaxy Tab S9 FE 10.9” 128GB WiFi Android Tablet, Large Display, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version,2023, Gray
",Electronics,Tablets and e-readers,329.29,362,"https://m.media-amazon.com/images/I/51trnxeW6qL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61ZT7Ms8XbL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61cc93G6e9L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71q0u2GvFOL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/51JsZjQ8V2L._AC_SX466_.jpg"
"Fire HD 8 tablet, 8"" HD display, 32 GB, (2020 release), designed for portable entertainment, Black",Electronics,Tablets and e-readers,38.62,461,"https://m.media-amazon.com/images/I/71FpwqhD+DL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71rQHf5SUPL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/716B8u-d06L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71uRQ44JYWS._AC_SX679_.jpg, https://m.media-amazon.com/images/I/618uvFvh90L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/61MoRwzsJzL._AC_SX679_.jpg"
"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 256GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Silver",Electronics,Tablets and e-readers,448.3,145,"https://m.media-amazon.com/images/I/61goypdjAYL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/91psKPUkS4L._AC_SX522_.jpg, https://m.media-amazon.com/images/I/71hPJvZKLpL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/81laS-flS0L._AC_SX522_.jpg, https://m.media-amazon.com/images/I/71dSEx5u7vL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/61LCZqB7+2L._AC_SX522_.jpg"
"Kids Tablet 7"" Tablet for Kids 32GB Toddler Tablet with Wi-Fi YouTube Case, Kids Android Learning Tablet for Toddlers Kids Software Installed Lots Educational Content for Boys Girls",Electronics,Tablets and e-readers,39.99,451,"https://m.media-amazon.com/images/I/610QHRgQysL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71gITEGUTzL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81WINraz82L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71EBl2LAKoL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71aM7tUCjFL._AC_SX466_.jpg"
"Kids Tablet 7 Inch Tablet for Kids 32GB Toddler Tablet Kids Software Installed, Kids Learning Android Tablet with WiFi YouTube Parental Control for Toddlers Boys Girls Childrens Tablet",Electronics,Tablets and e-readers,39.99,412,"https://m.media-amazon.com/images/I/71iy7-M+7SL._AC_SY300_SX300_.jpg, https://m.media-amazon.com/images/I/81b-LnCyJkL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71Ljn+gnjxL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71u3RiM3jOL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71n16hTz6LL._AC_SX466_.jpg"
"Kids Tablet 10 inch Tablet for Kids 64GB Toddler Tablet with Case, Kids Learning Android Tablet with WiFi Dual Camera IPS Screen Kids Software Installed Childrens Tablet for Toddlers",Electronics,Tablets and e-readers,49.99,251,"https://m.media-amazon.com/images/I/71lgoU2C6-L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81xH2MJCBzL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71eOpgjKFfL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81qwZmiLVkL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71SGGeYc9EL._AC_SX466_.jpg"
Kids Tablet 7 inch Tablet for Kids Toddler Tablet with WiFi Android 10.0 32GB Kids Tablets Kids Learning Educational APP Pre-Installed kid tablet YouTube Netflix Parental Control Kid-Proof Case (Blue),Electronics,Tablets and e-readers,39.99,761,"https://m.media-amazon.com/images/I/61nJFnl6kzL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81jp3Kn-yeL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71iPyo-5PYL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71dE+1htxVL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/717qd2et-NL._AC_SX466_.jpg"
"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet, Compact, Portable, Slim Design, Kid Friendly, Sturdy Metal Frame, Expandable Storage, Long Lasting Battery, US Version, 2021, Silver",Electronics,Tablets and e-readers,93.52,841,"https://m.media-amazon.com/images/I/81SFYXXNQiL._AC_SY879_.jpg, https://m.media-amazon.com/images/I/81jMWhQeO5S._AC_SX679_.jpg, https://m.media-amazon.com/images/I/61DF31t-EBL._AC_SY879_.jpg"
"FLUESTON LCD Writing Tablet, Doodle Board Toys Gifts for 3-8 Year Old Girls Boys, 10 Inch Colorful Electronic Board Drawing Pad for Kids, Gifts for Toddler Educational Learning Travel Birthday, Blue",Electronics,Tablets and e-readers,19.99,415,"https://m.media-amazon.com/images/I/818pv2ULzBL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/711S-LQj7vL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71nsP4FRJsL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/718CNJyqLeL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71FNm0GG8eL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/711SLG27xRL._AC_SX679_.jpg"
"C idea 7 Inch Tablets for Kids,Android 12 Kids Tablet Age 2-5,32GB ROM+512GB Storage Expandable,Iwawa Pre-Installed Small Smart Kids Tablets for Girls Boys Children Educational(Ladybug)",Electronics,Tablets and e-readers,29.49,412,"https://m.media-amazon.com/images/I/71uDt75S2xL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71ej4vlOLGL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/610nEIAz80L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71+Co7fOWdL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71OZrUtly5L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/61cvOcqxeDL._AC_SX679_.jpg"
"Amazon Fire HD 8 tablet, 8” HD Display, 64GB, 30% faster processor, designed for portable entertainment, (2022 release), Denim",Electronics,Tablets and e-readers,50.99,521,"https://m.media-amazon.com/images/I/716NHsSc3HL._AC_SY450_.jpg, https://m.media-amazon.com/images/I/61+euEWu6NL._AC_SY450_.jpg, https://m.media-amazon.com/images/I/612urV-joPL._AC_SY450_.jpg, https://m.media-amazon.com/images/I/611IKXwhkBL._AC_SY450_.jpg, https://m.media-amazon.com/images/I/619bdfqZrxL._AC_SY450_.jpg"
"Lenovo Tab M10 Plus (3rd Gen) - 2022 - Long Battery Life - 10"" FHD - Front & Rear 8MP Camera - 4GB Memory - 128GB Storage - Android 12 or later (Grey)",Electronics,Tablets and e-readers,134.17,142,"https://m.media-amazon.com/images/I/611OVC7ZSlL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/61TUeFPGa-L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51pk5jZN6NL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/61ZLR4+dsPL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/61yFp+OqBpL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71Dx8fo29xL._AC_SX679_.jpg"
"Amazon Fire Max 11 tablet productivity bundle with Keyboard Case, Stylus Pen, octa-core processor, 4 GB RAM to do more throughout your day, 64 GB, Gray",Electronics,Tablets and e-readers,304.97,512,"https://m.media-amazon.com/images/I/51Q1OJPol8L._AC_SY450_.jpg, https://m.media-amazon.com/images/I/61ND6rKdHjL._AC_SY450_.jpg, https://m.media-amazon.com/images/I/81XqMhgcApL._AC_SY450_.jpg, https://m.media-amazon.com/images/I/61duS4dE6OL._AC_SY450_.jpg, https://m.media-amazon.com/images/I/61OQESG3tbL._AC_SY450_.jpg"
"2021 Apple 12.9-inch iPad Pro (Wi‑Fi, 256GB) - Space Gray
",Electronics,Tablets and e-readers,979.19,259,"https://m.media-amazon.com/images/I/81+N4PFF7jS._AC_SX522_.jpg, https://m.media-amazon.com/images/I/71Qltdecc4S._AC_SX522_.jpg, https://m.media-amazon.com/images/I/81xu+s01lrS._AC_SX522_.jpg, https://m.media-amazon.com/images/I/71pJnwZulbS._AC_SX522_.jpg, https://m.media-amazon.com/images/I/61-XGJ5IYtS._AC_SX522_.jpg"
"Samsung Galaxy Tab A7 Lite 8.7"" (2021, WiFi + Cellular) 32GB 4G LTE Tablet & Phone (Makes Calls) GSM Unlocked, International Model w/US Charging Cube - SM-T225 (Grey, LTE+WiFi)",Electronics,Tablets and e-readers,315.3,451,"https://m.media-amazon.com/images/I/61KIendhj0S._AC_SX679_.jpg, https://m.media-amazon.com/images/I/616zp9jgBIS._AC_SX679_.jpg, https://m.media-amazon.com/images/I/61TGXcuc7zS._AC_SX679_.jpg, https://m.media-amazon.com/images/I/31hqbk+m8gS._AC_SX679_.jpg, https://m.media-amazon.com/images/I/41fSbZhlJpS._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51+bdzZUDPS._AC_SX679_.jpg"
"OnePlus Pad 11.61"" LCD Display, 8GB RAM,128GB Storage, MediaTek Dimensity 9000, Android 13.1, 144HZ Refresh Rate, Dolby Vision Atmos, Wi-Fi with Cellular Data Sharing Tablet",Electronics,Tablets and e-readers,315.3,523,"https://m.media-amazon.com/images/I/51GwFZTvLtL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71TdOSFMUsL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51z-31EQAnL._AC_SX679_.jpg"
"Amazon Fire HD 8 Plus tablet, 8” HD Display, 32 GB, 3GB RAM, 30% faster processor, and Made for Amazon Wireless Charging Dock, (2022 release), Gray",Electronics,Tablets and e-readers,104.98,451,"https://m.media-amazon.com/images/I/51Xvip418LL._AC_SY450_.jpg, https://m.media-amazon.com/images/I/51DC+DE8m9L._AC_SY450_.jpg, https://m.media-amazon.com/images/I/61zZwSXulqL._AC_SY450_.jpg, https://m.media-amazon.com/images/I/61UuN2+M-DL._AC_SY450_.jpg, https://m.media-amazon.com/images/I/61dY3whdOKL._AC_SY450_.jpg"
"Google Pixel Tablet with Charging Speaker Dock - Android Tablet with 11-Inch Screen, Smart Home Controls, and Long-Lasting Battery - Hazel/Hazel - 256 GB",Electronics,Tablets and e-readers,450.04,658,"https://m.media-amazon.com/images/I/71YZxO0GBSL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81X6lfOCpJL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81IJPtdJ6zL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81ZRR0lPNTL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81gmEpogavL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71f7IJ12tuL._AC_SX466_.jpg"
"Tablet 10 inch Android 13 Tablets, 12GB RAM 128GB ROM 1TB Expandable, octa-core, 5+13 Dual Cameras, 4G LTE, Bluetooth, 8000mAh Battery (Black)",Electronics,Tablets and e-readers,89.99,541,"https://m.media-amazon.com/images/I/71ZaHnql8YL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71au9TEv9gL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71yvPgm4J7L._AC_SX466_.jpg"
"SAMSUNG Galaxy Tab S8+ Plus 12.4” 128GB WiFi 6E Android Tablet, Large AMOLED Screen, S Pen Included, PC Experience, Ultra Wide Camera Records 4K Video, Long Lasting Battery, US Version, 2022, Graphite",Electronics,Tablets and e-readers,450.8,465,"https://m.media-amazon.com/images/I/51J9ksqYYtL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61ZE8qF47eL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61fDuSsL3OL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71ZySRndxmL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61jHLpY5xGL._AC_SX466_.jpg"
"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black",Electronics,Smartphones and accessories,250,451,"https://m.media-amazon.com/images/I/41vU1u8DZXL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51xwBfBoAlL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/511SiDhfOpL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51Xy+2X+ryL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/41KEyoSZSAL._AC_SX679_.jpg"
"Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera & Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)",Electronics,Smartphones and accessories,314.24,754,"https://m.media-amazon.com/images/I/61kfOWlQLsL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/6147o+tGcSL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/41uHh7LY-HL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/61odesJExmL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/41xs8EBiBAL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/510T9VFyi2L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51HII4pED6L._AC_SX679_.jpg"
Motorola Moto G Power 5G | 2023 | Unlocked | Made for US 6/256GB | 50 MPCamera | Mineral Black,Electronics,Smartphones and accessories,175.16,421,"https://m.media-amazon.com/images/I/61QKKdjHV0L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/61rTbu0TKsL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/61o+4nU7yuL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/515sDV8LWCL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51G2mMqvfZL._AC_SX679_.jpg"
"SAMSUNG Galaxy A25 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Stereo Speakers, US Version, 2024, Black",Electronics,Smartphones and accessories,177.75,451,"https://m.media-amazon.com/images/I/41a8kDOGxJL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51MlDVgbGOL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51izlx57dgL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/41eQcmbA53L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/41T3VZHbYrL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51mMWSoiu4L._AC_SX679_.jpg"